trade_id,fold,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t05_00058,5,2025-05-19 11:00:00+00:00,2025-05-19 13:00:00+00:00,LONG,,CONTINUATION,0.788039,0.760334,0.003,0.002437,307.36,0.04,3233.0515,3170.6431,3357.8683,3241.745,TIMEOUT,0.113138,0.09579,34.77,29.44,0.28,5.33,249.63,102452.84,102482.28,0.0,0.0,dec_20260711T124145926783
t05_00059,5,2025-05-20 16:00:00+00:00,2025-05-20 18:00:00+00:00,LONG,,CONTINUATION,0.932092,0.922456,0.003,0.002596,307.45,0.04,3243.474,3176.9661,3376.4897,3277.32,TIMEOUT,0.440345,0.422937,135.38,130.03,0.28,5.35,266.03,102482.28,102612.32,0.0,0.0,dec_20260711T124146000688
t05_00060,5,2025-05-21 07:00:00+00:00,2025-05-21 09:00:00+00:00,LONG,,CONTINUATION,0.660324,0.727881,0.003,0.002702,307.84,0.05,3308.1515,3252.707,3419.0404,3320.015,TIMEOUT,0.192689,0.170551,59.32,52.5,0.35,6.81,277.22,102612.32,102664.82,0.0,0.0,dec_20260711T124146064179
t05_00061,5,2025-05-21 23:00:00+00:00,2025-05-22 02:00:00+00:00,LONG,,CONTINUATION,0.577515,0.721559,0.003,0.0029,307.99,0.07,3318.969,3276.4333,3404.0404,3320.0925,TIMEOUT,0.025535,-0.00533,7.86,-1.64,0.49,9.51,297.75,102664.82,102663.18,1.6e-05,1.6e-05,dec_20260711T124146148609
t05_00062,5,2025-05-23 13:00:00+00:00,2025-05-23 15:00:00+00:00,LONG,,CONTINUATION,0.910543,0.930408,0.0025,0.002074,256.66,0.04,3329.4015,3276.176,3435.8526,3357.18,TIMEOUT,0.432923,0.412148,111.11,105.78,0.28,5.33,212.9,102663.18,102768.96,0.0,0.0,dec_20260711T124146297090
t05_00063,5,2025-05-28 09:00:00+00:00,2025-05-28 11:00:00+00:00,LONG,,CONTINUATION,0.890316,0.824602,0.0025,0.002326,256.92,0.06,3307.9315,3268.0906,3387.6133,3321.64,TIMEOUT,0.320142,0.288545,82.25,74.13,0.42,8.12,239.05,102768.96,102843.09,0.0,0.0,dec_20260711T124146598512
t05_00064,5,2025-06-02 07:00:00+00:00,2025-06-02 09:00:00+00:00,LONG,,CONTINUATION,0.932558,0.936818,0.0025,0.002107,257.11,0.05,3309.3515,3266.009,3396.0365,3344.435,TIMEOUT,0.682266,0.655955,175.42,168.65,0.35,6.76,216.71,102843.09,103011.74,0.0,0.0,dec_20260711T124146909200
t05_00065,5,2025-06-02 08:00:00+00:00,2025-06-02 10:00:00+00:00,LONG,,CONTINUATION,0.942963,0.97232,0.0025,0.002254,257.53,0.05,3314.5565,3268.1161,3407.4372,3352.505,TIMEOUT,0.736778,0.710509,189.74,182.98,0.35,6.76,232.2,103011.74,103194.72,0.0,0.0,dec_20260711T124146915090
t05_00066,5,2025-06-09 18:00:00+00:00,2025-06-09 20:00:00+00:00,LONG,,CONTINUATION,0.88098,0.84296,0.0025,0.0021,257.99,0.05,3321.5265,3278.1886,3408.2022,3333.565,TIMEOUT,0.233313,0.207285,60.19,53.48,0.35,6.71,216.69,103194.72,103248.2,0.0,0.0,dec_20260711T124147473281
t05_00067,5,2025-06-13 04:00:00+00:00,2025-06-13 06:00:00+00:00,LONG,,CONTINUATION,0.860619,0.84264,0.003,0.002906,309.74,0.05,3416.4693,3356.4634,3536.481,3425.53,TIMEOUT,0.146264,0.124818,45.3,38.66,0.35,6.64,300.03,103248.2,103286.86,0.0,0.0,dec_20260711T124147848248
t05_00068,5,2025-06-13 13:00:00+00:00,2025-06-13 15:00:00+00:00,LONG,,CONTINUATION,0.555655,0.712121,0.003,0.002645,309.86,0.04,3424.9668,3356.6593,3561.5817,3436.705,TIMEOUT,0.15153,0.134315,46.95,41.62,0.28,5.33,273.23,103286.86,103328.48,0.0,0.0,dec_20260711T124147899555
t05_00069,5,2025-06-30 20:00:00+00:00,2025-06-30 22:00:00+00:00,LONG,,CONTINUATION,0.858635,0.774977,0.0025,0.002389,258.32,0.06,3297.9167,3256.7689,3380.2125,3308.64,TIMEOUT,0.249069,0.218096,64.34,56.34,0.42,8.0,246.89,103328.48,103384.82,0.0,0.0,dec_20260711T124149231195
t05_00070,5,2025-07-01 01:00:00+00:00,2025-07-01 03:00:00+00:00,LONG,,FAIR_VALUE_GAP,0.648716,0.75688,0.0025,0.002216,258.46,0.06,3304.3317,3266.1394,3380.7164,3314.765,TIMEOUT,0.242202,0.211013,62.6,54.54,0.42,8.06,229.15,103384.82,103439.36,0.0,0.0,dec_20260711T124149249561
t05_00071,5,2025-07-02 21:00:00+00:00,2025-07-02 23:00:00+00:00,LONG,,CONTINUATION,0.834918,0.853479,0.003,0.002873,310.32,0.08,3350.3018,3313.1573,3424.5907,3356.935,TIMEOUT,0.171004,0.136627,53.07,42.4,0.56,10.67,297.16,103439.36,103481.75,0.0,0.0,dec_20260711T124149475885
t05_00072,5,2025-07-07 23:00:00+00:00,2025-07-08 02:00:00+00:00,LONG,,CONTINUATION,0.790138,0.813037,0.0025,0.00238,258.7,0.06,3337.7618,3296.7146,3419.856,3334.591,TIMEOUT,-0.073539,-0.104467,-19.02,-27.03,0.42,8.0,246.28,103481.75,103454.73,0.000261,0.000261,dec_20260711T124149821001
t05_00073,5,2025-07-11 09:00:00+00:00,2025-07-11 11:00:00+00:00,LONG,,CONTINUATION,0.75145,0.846525,0.003,0.002946,310.36,0.12,3334.8043,3309.405,3385.6028,3333.155,TIMEOUT,-0.063768,-0.115521,-19.79,-35.85,0.84,16.06,304.79,103454.73,103418.88,0.000347,0.000608,dec_20260711T124150199051
t05_00074,5,2025-07-14 19:00:00+00:00,2025-07-14 21:00:00+00:00,LONG,,RANGE_EDGE_REJECTION,0.775492,0.751906,0.0011,0.000821,113.76,0.02,3345.7218,3303.2619,3430.6414,3348.89,TIMEOUT,0.055701,0.032784,6.34,3.73,0.14,2.61,84.92,103418.88,103422.61,0.0,0.000572,dec_20260711T124150344563
t05_00075,5,2025-07-16 18:00:00+00:00,2025-07-16 20:00:00+00:00,LONG,,CONTINUATION,0.828465,0.689438,0.0025,0.002136,258.56,0.05,3338.7342,3294.5591,3427.0846,3354.815,TIMEOUT,0.310967,0.285857,80.4,73.91,0.35,6.49,220.88,103422.61,103496.52,0.0,0.0,dec_20260711T124150592533
t05_00076,5,2025-07-16 19:00:00+00:00,2025-07-16 21:00:00+00:00,LONG,,CONTINUATION,0.911656,0.939575,0.0025,0.002408,258.74,0.05,3344.5418,3294.7037,3444.2178,3350.33,TIMEOUT,0.111855,0.086665,28.94,22.42,0.35,6.52,249.19,103496.52,103518.94,0.0,0.0,dec_20260711T124150599318
t05_00077,5,2025-07-18 10:00:00+00:00,2025-07-18 12:00:00+00:00,LONG,,PULLBACK,0.850988,0.702077,0.0025,0.002361,258.8,0.1,3342.7417,3318.3012,3391.6228,3352.42,TIMEOUT,0.373966,0.32244,96.78,83.45,0.7,13.33,244.41,103518.94,103602.39,0.0,0.0,dec_20260711T124150769445
t05_00078,5,2025-07-21 16:00:00+00:00,2025-07-21 18:00:00+00:00,LONG,,CONTINUATION,0.820836,0.66436,0.003,0.002999,310.81,0.07,3387.8867,3343.4975,3476.6653,3397.97,TIMEOUT,0.227093,0.198411,70.58,61.67,0.49,8.91,310.72,103602.39,103664.06,0.0,0.0,dec_20260711T124150928344
