year,month,source,profile,risk_mode,risk_mult,starting_equity,ending_equity,net_pnl,profit_pct,pf,win_rate,trade_count,max_dd_pct,max_daily_dd_pct,sharpe,sortino,target_5_hit,target_8_hit,target_10_hit,daily_dd_breach,total_dd_breach,verdict,computed_lot
2020,2020-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10000.0,10050.01,50.01,0.5,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10050.01,10101.53,51.52,0.51,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10101.53,10175.2,73.67,0.73,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10175.2,10365.84,190.64,1.87,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10365.84,10468.83,102.99,0.99,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10468.83,10492.97,24.14,0.23,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10492.97,10586.39,93.42,0.89,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10586.39,10665.31,78.92,0.75,4.7298,67.16,271,0.16,0.02,6.8209,9.2741,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10665.31,10754.65,89.34,0.84,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-02,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10754.65,10842.62,87.97,0.82,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-03,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10842.62,10888.69,46.07,0.42,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-04,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10888.69,10927.16,38.47,0.35,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,10927.16,11004.27,77.11,0.71,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11004.27,11058.26,53.99,0.49,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11058.26,11082.71,24.45,0.22,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11082.71,11182.37,99.66,0.9,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11182.37,11240.61,58.24,0.52,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11240.61,11284.32,43.71,0.39,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11284.32,11382.14,97.82,0.87,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11382.14,11415.96,33.82,0.3,3.4231,69.1,424,0.25,0.03,6.5552,7.4611,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11415.96,11468.39,52.43,0.46,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-02,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11468.39,11504.96,36.57,0.32,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-03,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11504.96,11755.27,250.31,2.18,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-04,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11755.27,11795.76,40.49,0.34,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11795.76,11848.66,52.9,0.45,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11848.66,11888.94,40.28,0.34,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11888.94,11966.67,77.73,0.65,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,11966.67,12017.46,50.79,0.42,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12017.46,12059.17,41.71,0.35,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12059.17,12098.82,39.65,0.33,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12098.82,12158.41,59.59,0.49,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2022,2022-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12158.41,12206.71,48.3,0.4,2.9517,66.03,474,0.27,0.03,6.3028,5.6599,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12206.71,12255.61,48.9,0.4,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-02,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12255.61,12327.65,72.04,0.59,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-03,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12327.65,12467.96,140.31,1.14,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-04,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12467.96,12553.46,85.5,0.69,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12553.46,12643.96,90.5,0.72,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12643.96,12642.71,-1.25,-0.01,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12642.71,12684.47,41.76,0.33,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12684.47,12727.69,43.22,0.34,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12727.69,12819.44,91.75,0.72,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12819.44,12907.96,88.52,0.69,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12907.96,12973.88,65.92,0.51,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2023,2023-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,12973.88,13063.56,89.68,0.69,4.4083,72.33,477,0.26,0.03,7.1103,8.6399,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13063.56,13158.34,94.78,0.73,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-02,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13158.34,13152.87,-5.47,-0.04,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-03,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13152.87,13320.72,167.85,1.28,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-04,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13320.72,13485.33,164.61,1.24,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13485.33,13601.46,116.13,0.86,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13601.46,13662.23,60.77,0.45,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13662.23,13854.39,192.16,1.41,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13854.39,13919.54,65.15,0.47,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,13919.54,14055.64,136.1,0.98,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14055.64,14157.66,102.02,0.73,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14157.66,14294.63,136.97,0.97,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2024,2024-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14294.63,14404.47,109.84,0.77,4.439,71.52,488,0.56,0.06,8.9142,7.5993,False,False,False,False,False,PASS_NO_TARGET,0.01
2025,2025-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14404.47,14534.84,130.37,0.91,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.01
2025,2025-02,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14534.84,14719.34,184.5,1.27,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.01
2025,2025-03,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14719.34,14862.08,142.74,0.97,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.01
2025,2025-04,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,14862.08,15230.9,368.82,2.48,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.01
2025,2025-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,15230.9,15549.05,318.15,2.09,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,15549.05,15656.52,107.47,0.69,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,15656.52,15866.26,209.74,1.34,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,15866.26,15949.98,83.72,0.53,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,15949.98,16168.99,219.01,1.37,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,16168.99,16663.29,494.3,3.06,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,16663.29,16791.66,128.37,0.77,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2025,2025-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,1.0,16791.66,17093.39,301.73,1.8,5.4442,68.18,462,0.71,0.07,10.5979,9.2271,False,False,False,False,False,PASS_NO_TARGET,0.02
2020,2020-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,10000.0,10125.02,125.02,1.25,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.02
2020,2020-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,10125.02,10253.82,128.8,1.27,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2020,2020-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,10253.82,10438.0,184.18,1.8,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2020,2020-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,10438.0,10914.6,476.6,4.57,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2020,2020-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,10914.6,11172.07,257.47,2.36,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2020,2020-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,11172.07,11232.42,60.35,0.54,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2020,2020-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,11232.42,11465.97,233.55,2.08,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2020,2020-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,11465.97,11663.27,197.3,1.72,4.7298,67.16,271,0.4,0.04,10.7848,14.6636,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,11663.27,11886.62,223.35,1.91,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-02,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,11886.62,12106.55,219.93,1.85,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-03,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12106.55,12221.72,115.17,0.95,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-04,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12221.72,12317.9,96.17,0.79,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-05,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12317.9,12510.67,192.78,1.56,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-06,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12510.67,12645.65,134.97,1.08,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-07,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12645.65,12706.77,61.12,0.48,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-08,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12706.77,12955.92,249.15,1.96,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-09,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,12955.92,13101.52,145.6,1.12,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-10,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,13101.52,13210.8,109.28,0.83,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-11,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,13210.8,13455.35,244.55,1.85,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2021,2021-12,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,13455.35,13539.9,84.55,0.63,3.4231,69.1,424,0.62,0.06,10.3647,11.797,False,False,False,False,False,PASS_NO_TARGET,0.03
2022,2022-01,fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,2.5,13539.9,13670.97,131.07,0.97,2.9517,66.03,474,0.68,0.07,9.9656,8.9491,False,False,False,False,False,PASS_NO_TARGET,0.03
