source,month,risk_mode,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_5_30d,target_8_30d,target_10_30d,target_10_weekly
canonical,2025-10,0.25pct_equity,2.01,4.02,8.64,17.29,True,True,False,False
canonical,2025-11,0.25pct_equity,0.9,1.81,3.88,7.76,False,False,False,False
canonical,2025-12,0.25pct_equity,0.78,1.56,3.36,6.71,False,False,False,False
canonical,2020-01,0.50pct_equity,0.24,0.48,1.02,2.05,False,False,False,False
canonical,2020-02,0.50pct_equity,0.37,0.74,1.58,3.17,False,False,False,False
canonical,2020-03,0.50pct_equity,1.11,2.22,4.77,9.54,False,False,False,False
canonical,2020-04,0.50pct_equity,0.46,0.92,1.98,3.95,False,False,False,False
canonical,2020-05,0.50pct_equity,0.35,0.71,1.52,3.04,False,False,False,False
canonical,2020-06,0.50pct_equity,0.21,0.42,0.89,1.79,False,False,False,False
canonical,2020-07,0.50pct_equity,0.95,1.9,4.09,8.18,False,False,False,False
canonical,2020-08,0.50pct_equity,0.87,1.74,3.75,7.5,False,False,False,False
canonical,2020-09,0.50pct_equity,0.14,0.29,0.62,1.24,False,False,False,False
canonical,2020-10,0.50pct_equity,0.16,0.32,0.69,1.38,False,False,False,False
canonical,2020-11,0.50pct_equity,0.71,1.41,3.03,6.06,False,False,False,False
canonical,2020-12,0.50pct_equity,0.61,1.21,2.61,5.22,False,False,False,False
canonical,2021-01,0.50pct_equity,0.28,0.57,1.22,2.44,False,False,False,False
canonical,2021-02,0.50pct_equity,0.64,1.28,2.75,5.49,False,False,False,False
canonical,2021-03,0.50pct_equity,0.16,0.33,0.7,1.4,False,False,False,False
canonical,2021-04,0.50pct_equity,0.35,0.71,1.53,3.05,False,False,False,False
canonical,2021-05,0.50pct_equity,0.28,0.56,1.2,2.4,False,False,False,False
canonical,2021-06,0.50pct_equity,0.22,0.44,0.95,1.91,False,False,False,False
