source,profile,risk_mode,total_months,target_5_rate_pct,target_8_rate_pct,target_10_rate_pct,daily_dd_breaches,total_dd_breaches,avg_monthly_pct,best_month_pct,worst_month_pct,max_dd_pct,max_daily_dd_pct,final_equity,verdict
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,70,17.14,5.71,2.86,0,0,3.33,16.1,-0.06,7.9,0.79,96742.0,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,70,20.0,10.0,4.29,0,0,3.64,19.06,-0.06,9.88,0.99,118427.5,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,70,22.86,10.0,4.29,0,12,3.9,21.72,-0.06,11.85,1.19,140113.0,UNSUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,70,0.0,0.0,0.0,0,0,0.9,4.29,-0.02,0.79,0.08,18674.2,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,24,12.5,0.0,0.0,0,0,2.64,7.45,0.73,1.82,0.18,18642.62,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,24,25.0,8.33,4.17,0,0,4.3,10.68,1.42,3.65,0.36,27285.25,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,24,41.67,20.83,8.33,0,0,5.51,12.49,1.96,5.47,0.55,35927.88,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,24,50.0,25.0,20.83,0,0,6.48,13.98,2.25,7.3,0.73,44570.5,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,24,62.5,37.5,25.0,0,0,7.28,15.25,2.39,9.12,0.91,53213.12,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,24,70.83,37.5,33.33,0,12,7.97,16.23,2.49,10.95,1.09,61855.75,UNSUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,24,0.0,0.0,0.0,0,0,1.25,3.91,0.3,0.73,0.07,13457.05,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,24,12.5,4.17,0.0,0,0,2.97,8.13,0.88,1.7,0.17,20137.7,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,24,29.17,16.67,4.17,0,0,4.75,11.36,1.73,3.4,0.34,30275.4,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,24,54.17,25.0,12.5,0,0,6.03,13.1,2.39,5.1,0.51,40413.1,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,24,62.5,29.17,25.0,0,0,7.04,15.07,2.6,6.8,0.68,50550.8,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,24,75.0,37.5,29.17,0,0,7.88,18.05,2.75,8.5,0.85,60688.5,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,24,79.17,37.5,33.33,0,12,8.59,20.78,2.85,10.2,1.02,70826.2,UNSUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,24,0.0,0.0,0.0,0,0,1.43,4.39,0.36,0.68,0.07,14055.08,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,24,12.5,4.17,4.17,0,0,3.53,10.5,0.3,1.98,0.2,22862.52,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,24,45.83,16.67,8.33,0,0,5.49,14.21,0.58,3.95,0.4,35725.05,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,24,70.83,25.0,25.0,0,0,6.87,16.11,0.85,5.93,0.59,48587.58,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,24,75.0,33.33,25.0,0,0,7.94,17.26,1.1,7.9,0.79,61450.1,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,24,79.17,45.83,33.33,0,0,8.82,18.04,1.35,9.88,0.99,74312.62,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,24,83.33,54.17,33.33,0,12,9.57,20.33,1.58,11.85,1.19,87175.15,UNSUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,24,4.17,0.0,0.0,0,0,1.75,5.89,0.12,0.79,0.08,15145.01,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,72,1.39,0.0,0.0,0,0,1.35,5.15,-0.27,1.82,0.18,26133.43,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,72,4.17,1.39,0.0,0,0,2.03,8.39,-0.37,3.65,0.36,42266.85,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,72,9.72,1.39,1.39,0,0,2.5,12.18,-0.42,5.47,0.55,58400.27,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,72,13.89,4.17,1.39,0,0,2.86,15.74,-0.45,7.3,0.73,74533.7,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,72,16.67,5.56,4.17,0,0,3.15,19.08,-0.48,9.12,0.91,90667.12,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,72,18.06,5.56,5.56,0,12,3.4,22.23,-0.49,10.95,1.09,106800.55,UNSUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.7,3.17,-0.15,0.73,0.07,16453.37,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,72,1.39,0.0,0.0,0,0,1.51,5.33,-0.04,1.68,0.17,29378.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,72,6.94,1.39,0.0,0,0,2.24,9.59,-0.05,3.35,0.34,48757.0,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,72,9.72,4.17,1.39,0,0,2.72,13.96,-0.06,5.03,0.5,68135.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,72,13.89,6.94,2.78,0,0,3.09,18.09,-0.06,6.7,0.67,87514.0,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,72,18.06,6.94,4.17,0,0,3.4,21.98,-0.06,8.38,0.84,106892.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,72,22.22,6.94,5.56,0,12,3.65,25.67,-0.07,10.05,1.01,126271.0,UNSUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.8,3.42,-0.02,0.67,0.07,17751.4,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,72,2.78,0.0,0.0,0,0,1.7,7.95,0.02,1.98,0.2,33352.3,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,72,6.94,2.78,1.39,0,0,2.46,15.25,0.03,3.95,0.4,56704.6,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,72,13.89,4.17,1.39,0,0,2.97,21.98,0.03,5.93,0.59,80056.9,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,72,15.28,6.94,2.78,0,0,3.36,28.2,0.03,7.9,0.79,103409.2,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,72,18.06,9.72,4.17,0,0,3.67,33.97,0.03,9.88,0.99,126761.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,72,19.44,11.11,5.56,0,12,3.94,39.34,0.04,11.85,1.19,150113.8,UNSUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.92,4.5,0.01,0.79,0.08,19340.92,SUITABLE
