trade_id,fold,segment,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t99_00024,99,retrospective_2026,2026-02-23 04:00:00+00:00,2026-02-23 06:00:00+00:00,LONG,,CONTINUATION,0.78241,0.752894,0.003,0.002192,303.78,0.02,5158.2817,5047.31,5380.2253,5160.795,TIMEOUT,0.016547,0.006121,5.03,1.86,0.14,3.17,221.94,101260.27,101262.13,0.0,0.0,dec_20260713T104639500922
t99_00025,99,retrospective_2026,2026-02-23 18:00:00+00:00,2026-02-23 20:00:00+00:00,LONG,,CONTINUATION,0.683293,0.678308,0.003,0.002724,303.79,0.03,5197.0742,5105.1416,5380.9396,5209.67,TIMEOUT,0.124386,0.109687,37.79,33.32,0.21,4.47,275.8,101262.13,101295.45,0.0,0.0,dec_20260713T104639555440
t99_00026,99,retrospective_2026,2026-02-25 06:00:00+00:00,2026-02-25 08:00:00+00:00,LONG,,CONTINUATION,0.883264,0.894888,0.0025,0.002004,253.24,0.02,5183.0017,5081.48,5386.0453,5194.67,TIMEOUT,0.092152,0.079646,23.34,20.17,0.14,3.17,203.04,101295.45,101315.62,0.0,0.0,dec_20260713T104639637644
t99_00027,99,retrospective_2026,2026-02-25 07:00:00+00:00,2026-02-25 09:00:00+00:00,LONG,,CONTINUATION,0.616098,0.674569,0.0025,0.001926,253.29,0.02,5183.6467,5086.0812,5378.7778,5184.71,TIMEOUT,0.008396,-0.004345,2.13,-1.1,0.14,3.23,195.13,101315.62,101314.52,1.1e-05,1.1e-05,dec_20260713T104639642742
t99_00028,99,retrospective_2026,2026-02-27 06:00:00+00:00,2026-02-27 08:00:00+00:00,LONG,,PULLBACK,0.83978,0.858123,0.0025,0.002454,253.29,0.03,5184.8817,5101.9969,5350.6514,5185.63,TIMEOUT,0.008862,-0.010011,2.24,-2.54,0.21,4.78,248.65,101314.52,101311.99,2.5e-05,3.6e-05,dec_20260713T104639708360
t99_00029,99,retrospective_2026,2026-03-02 05:00:00+00:00,2026-03-02 07:00:00+00:00,LONG,,CONTINUATION,0.707295,0.694172,0.0016,0.001201,162.1,0.01,5347.3493,5225.7098,5590.6282,5366.075,TIMEOUT,0.11552,0.10572,18.73,17.14,0.07,1.59,121.64,101311.99,101329.12,0.0,0.0,dec_20260713T104639780988
t99_00030,99,retrospective_2026,2026-03-02 09:00:00+00:00,2026-03-02 11:00:00+00:00,LONG,,CONTINUATION,0.712695,0.783707,0.003,0.002449,303.99,0.02,5388.3893,5264.3184,5636.531,5391.965,TIMEOUT,0.023525,0.012482,7.15,3.79,0.14,3.36,248.14,101329.12,101332.92,0.0,0.0,dec_20260713T104639791243
t99_00031,99,retrospective_2026,2026-03-06 17:00:00+00:00,2026-03-06 19:00:00+00:00,LONG,,CONTINUATION,0.637336,0.774793,0.0025,0.002311,253.33,0.02,5131.1968,5014.1301,5365.33,5140.845,TIMEOUT,0.076171,0.063433,19.3,16.07,0.14,3.23,234.13,101332.92,101348.99,0.0,0.0,dec_20260713T104640068201
t99_00032,99,retrospective_2026,2026-03-06 18:00:00+00:00,2026-03-06 20:00:00+00:00,LONG,,CONTINUATION,0.857657,0.894221,0.0025,0.002192,253.37,0.02,5142.6793,5031.6126,5364.8125,5161.1,TIMEOUT,0.145406,0.132472,36.84,33.56,0.14,3.28,222.13,101348.99,101382.55,0.0,0.0,dec_20260713T104640073326
t99_00033,99,retrospective_2026,2026-03-09 20:00:00+00:00,2026-03-09 22:00:00+00:00,LONG,,PULLBACK,0.740745,0.787286,0.0025,0.002479,253.46,0.02,5105.5418,4979.8639,5356.8975,5141.065,TIMEOUT,0.280307,0.267575,71.05,67.82,0.14,3.23,251.36,101382.55,101450.37,0.0,0.0,dec_20260713T104640126128
